file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
/Users/shreeyeshmenon/Desktop/MPC_Analysis/MPC Minutes/Canada/docs/Jan2015.txt,70131,9400,2.3510638297872344,1.1170212765957448,1.5425531914893618,0.09574468085106383,0.46808510638297873,0.46808510638297873,0.15957446808510636,562.9361702127659,2527,1052,1.7424468085106384,5.241170212765957,1459
/Users/shreeyeshmenon/Desktop/MPC_Analysis/MPC Minutes/Canada/docs/Jan2014.txt,53514,6805,1.763409257898604,1.4107274063188833,1.4548126377663484,0.10286554004408524,0.45554739162380603,0.41146216017634096,0.11756061719324026,579.8236590742101,2650,1046,1.7876561351947098,5.3678177810433505,1166
/Users/shreeyeshmenon/Desktop/MPC_Analysis/MPC Minutes/Canada/docs/Apr2008.txt,52711,7387,2.2201164207391364,0.961147962637065,1.4349532963313931,0.054149180993637476,0.33843238121023417,0.47380533369432787,0.12183565723568432,549.4652768376878,1428,567,1.6975768241505347,5.168810071747664,1168
/Users/shreeyeshmenon/Desktop/MPC_Analysis/MPC Minutes/Canada/docs/Apr2008.txt,52711,7387,2.2201164207391364,0.961147962637065,1.4349532963313931,0.054149180993637476,0.33843238121023417,0.47380533369432787,0.12183565723568432,549.4652768376878,1428,567,1.6975768241505347,5.168810071747664,1168
T,h,i,s, ,i,s, ,a, ,l,i,n,e,.
