file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary,net neg
Feb-13,29825,4405,2.156640182,1.157775255,2.065834279,0.136208854,0.136208854,0.839954597,0.090805902,548.876277,312,135,1.761407491,5.292849035,956,0.998864926
Mar-13,24446,3623,2.428926304,0.883245929,1.794093293,0.303615788,0.082804306,0.99365167,0.248412917,543.941485,300,130,1.717361303,5.253933205,917,1.545680375
Apr-13,25046,3730,2.252010724,1.126005362,1.474530831,0.214477212,0.160857909,0.884718499,0.241286863,541.4745308,310,132,1.700268097,5.189812332,898,1.126005362
May-13,26952,4105,2.119366626,0.974421437,1.729598051,0.170523752,0.146163216,0.828258222,0.243605359,528.6967113,284,117,1.672350792,5.096954933,934,1.144945189
Jun-13,24706,3750,2.533333333,1.066666667,2.106666667,0.133333333,0.106666667,0.72,0.213333333,530.56,247,104,1.692,5.1416,889,1.466666667
Jul-13,25513,3888,2.340534979,1.00308642,1.594650206,0.154320988,0.077160494,0.694444444,0.308641975,529.526749,244,109,1.694701646,5.125514403,910,1.33744856
Aug-13,35299,5259,2.281802624,1.388096596,2.262787602,0.285225328,0.209165241,0.855675984,0.247195284,546.6248336,269,133,1.765734931,5.332002282,1065,0.893706028
Sep-13,21664,3186,1.883239171,1.161330822,1.694915254,0.156936598,0.188323917,0.62774639,0.094161959,548.1795355,247,123,1.726302574,5.274952919,814,0.721908349
Oct-13,23438,3519,1.676612674,1.108269395,2.046035806,0.28417164,0.085251492,0.994600739,0.14208582,534.4700199,311,137,1.689116226,5.142938335,827,0.568343279
Nov-13,29022,4353,1.99862164,0.804043189,2.067539628,0.321617275,0.068917988,0.643234551,0.206753963,536.6643694,335,157,1.706639099,5.188605559,920,1.194578452
Dec-13,23778,3519,1.818698494,0.909349247,1.307189542,0.28417164,0.056834328,0.568343279,0.198920148,541.602728,355,149,1.711565786,5.192952543,811,0.909349247
Jan-14,24761,3650,2.273972603,1.232876712,1.671232877,0.273972603,0.02739726,0.575342466,0.191780822,546,327,151,1.705753425,5.253424658,832,1.04109589
Feb-14,27409,4066,2.434825381,1.229709788,1.672405312,0.245941958,0.073782587,0.565666503,0.196753566,545.4254796,296,134,1.730939498,5.274717167,911,1.205115593
Mar-14,27193,3979,1.658708218,0.728826338,1.533048505,0.427243026,0.050263885,0.728826338,0.100527771,546.2176426,456,191,1.716511686,5.219653179,920,0.92988188
